profile,elem_type,algo,size,runs,time_s,display
Almost_Sorted,int,Heap,100,10000,0.000083014,83.01 μs
Almost_Sorted,int,Heap,1000,100,0.001296076,1.30 ms
Almost_Sorted,int,Heap,10000,10,0.017836941,17.84 ms
Almost_Sorted,int,Heap,100000,1,0.222000458,222.00 ms
Almost_Sorted,int,Heap,1000000,1,2.700386917,2.700 s
Almost_Sorted,int,Heap,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Counting,50,20000,0.000007376,7.38 μs
Almost_Sorted,int,Counting,100,10000,0.000014341,14.34 μs
Almost_Sorted,int,Counting,1000,100,0.000146561,146.56 μs
Almost_Sorted,int,Counting,10000,10,0.001496562,1.50 ms
Almost_Sorted,int,Counting,100000,1,0.015459792,15.46 ms
Almost_Sorted,int,Counting,1000000,1,0.171003667,171.00 ms
Almost_Sorted,int,Counting,10000000,1,0.687928042,687.93 ms
Almost_Sorted,int,LinkedListMerge,50,20000,0.000028508,28.51 μs
Almost_Sorted,int,LinkedListMerge,100,10000,0.000062564,62.56 μs
Almost_Sorted,int,LinkedListMerge,1000,100,0.000818223,818.22 μs
Almost_Sorted,int,LinkedListMerge,10000,10,0.010901492,10.90 ms
Almost_Sorted,int,LinkedListMerge,100000,1,0.135443042,135.44 ms
Almost_Sorted,int,LinkedListMerge,1000000,1,1.636672375,1.637 s
Almost_Sorted,int,LinkedListMerge,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,TimSort,50,20000,0.000000980,980.42 ns
Almost_Sorted,int,TimSort,100,10000,0.000002014,2.01 μs
Almost_Sorted,int,TimSort,1000,100,0.000022236,22.24 μs
Almost_Sorted,int,TimSort,10000,10,0.000240512,240.51 μs
Almost_Sorted,int,TimSort,100000,1,0.002809375,2.81 ms
Almost_Sorted,int,TimSort,1000000,1,0.042819292,42.82 ms
Almost_Sorted,int,TimSort,10000000,1,0.472664417,472.66 ms
Flat,int,Bubble,50,20000,0.000065052,65.05 μs
Flat,int,Bubble,100,10000,0.000249696,249.70 μs
Flat,int,Bubble,1000,100,0.027313585,27.31 ms
Flat,int,Bubble,10000,10,TIMEOUT,TIMEOUT
Flat,int,Bubble,100000,1,TIMEOUT,TIMEOUT
Flat,int,Bubble,1000000,1,TIMEOUT,TIMEOUT
Flat,int,Bubble,10000000,1,TIMEOUT,TIMEOUT
Flat,int,Selection,50,20000,0.000034628,34.63 μs
Flat,int,Selection,100,10000,0.000128841,128.84 μs
Flat,int,Selection,1000,100,0.012718003,12.72 ms
Flat,int,Selection,10000,10,TIMEOUT,TIMEOUT
Flat,int,Selection,100000,1,TIMEOUT,TIMEOUT
Flat,int,Selection,1000000,1,TIMEOUT,TIMEOUT
Flat,int,Selection,10000000,1,TIMEOUT,TIMEOUT
Flat,int,Insertion,50,20000,0.000025974,25.97 μs
Flat,int,Insertion,100,10000,0.000098954,98.95 μs
Flat,int,Insertion,1000,100,0.010245090,10.25 ms
Flat,int,Insertion,10000,10,TIMEOUT,TIMEOUT
Flat,int,Insertion,100000,1,TIMEOUT,TIMEOUT
Flat,int,Insertion,1000000,1,TIMEOUT,TIMEOUT
Flat,int,Insertion,10000000,1,TIMEOUT,TIMEOUT
Flat,int,Merge,50,20000,0.000036897,36.90 μs
Flat,int,Merge,100,10000,0.000081411,81.41 μs
Flat,int,Merge,1000,100,0.001030370,1.03 ms
Flat,int,Merge,10000,10,0.012755183,12.76 ms
Flat,int,Merge,100000,1,0.149021375,149.02 ms
Flat,int,Merge,1000000,1,1.716800166,1.717 s
Flat,int,Merge,10000000,1,TIMEOUT,TIMEOUT
Flat,int,Quick,50,20000,0.000013005,13.00 μs
Flat,int,Quick,100,10000,0.000021698,21.70 μs
Flat,int,Quick,1000,100,0.000441104,441.10 μs
Flat,int,Quick,10000,10,0.001998887,2.00 ms
Flat,int,Quick,100000,1,0.017193291,17.19 ms
Flat,int,Quick,1000000,1,0.159124209,159.12 ms
Flat,int,Quick,10000000,1,2.069857500,2.070 s
Flat,int,Heap,50,20000,0.000030355,30.35 μs
Flat,int,Heap,100,10000,0.000071456,71.46 μs
Flat,int,Heap,1000,100,0.001076885,1.08 ms
Flat,int,Heap,10000,10,0.014305321,14.31 ms
Flat,int,Heap,100000,1,0.179040416,179.04 ms
Flat,int,Heap,1000000,1,2.154612167,2.155 s
Flat,int,Heap,10000000,1,TIMEOUT,TIMEOUT
Flat,int,Counting,50,20000,0.000003987,3.99 μs
Flat,int,Counting,100,10000,0.000006612,6.61 μs
Flat,int,Counting,1000,100,0.000053411,53.41 μs
Flat,int,Counting,10000,10,0.000522742,522.74 μs
Flat,int,Counting,100000,1,0.005399417,5.40 ms
Flat,int,Counting,1000000,1,0.053677959,53.68 ms
Flat,int,Counting,10000000,1,0.537909250,537.91 ms
Flat,int,LinkedListMerge,50,20000,0.000032574,32.57 μs
Flat,int,LinkedListMerge,100,10000,0.000071073,71.07 μs
Flat,int,LinkedListMerge,1000,100,0.000903681,903.68 μs
Flat,int,LinkedListMerge,10000,10,0.011540742,11.54 ms
Flat,int,LinkedListMerge,100000,1,0.139120917,139.12 ms
Flat,int,LinkedListMerge,1000000,1,1.610538458,1.611 s
Flat,int,LinkedListMerge,10000000,1,TIMEOUT,TIMEOUT
Flat,int,TimSort,50,20000,0.000002059,2.06 μs
Flat,int,TimSort,100,10000,0.000004605,4.61 μs
Flat,int,TimSort,1000,100,0.000047572,47.57 μs
Flat,int,TimSort,10000,10,0.000466492,466.49 μs
Flat,int,TimSort,100000,1,0.005057583,5.06 ms
Flat,int,TimSort,1000000,1,0.052038834,52.04 ms
Flat,int,TimSort,10000000,1,0.517911292,517.91 ms
Random_Float,float,Bubble,50,20000,0.000070978,70.98 μs
Random_Float,float,Bubble,100,10000,0.000288084,288.08 μs
Random_Float,float,Bubble,1000,100,0.030707222,30.71 ms
Random_Float,float,Bubble,10000,10,TIMEOUT,TIMEOUT
Random_Float,float,Bubble,100000,1,TIMEOUT,TIMEOUT
Random_Float,float,Bubble,1000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Bubble,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Selection,50,20000,0.000035424,35.42 μs
Random_Float,float,Selection,100,10000,0.000129585,129.59 μs
Random_Float,float,Selection,1000,100,0.013288004,13.29 ms
Random_Float,float,Selection,10000,10,TIMEOUT,TIMEOUT
Random_Float,float,Selection,100000,1,TIMEOUT,TIMEOUT
Random_Float,float,Selection,1000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Selection,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Insertion,50,20000,0.000030038,30.04 μs
Random_Float,float,Insertion,100,10000,0.000115610,115.61 μs
Random_Float,float,Insertion,1000,100,0.012009816,12.01 ms
Random_Float,float,Insertion,10000,10,TIMEOUT,TIMEOUT
Random_Float,float,Insertion,100000,1,TIMEOUT,TIMEOUT
Random_Float,float,Insertion,1000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Insertion,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Merge,50,20000,0.000037887,37.89 μs
Random_Float,float,Merge,100,10000,0.000084676,84.68 μs
Random_Float,float,Merge,1000,100,0.001109640,1.11 ms
Random_Float,float,Merge,10000,10,0.014023233,14.02 ms
Random_Float,float,Merge,100000,1,0.167463708,167.46 ms
Random_Float,float,Merge,1000000,1,2.064065334,2.064 s
Random_Float,float,Merge,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Quick,50,20000,0.000032102,32.10 μs
Random_Float,float,Quick,100,10000,0.000072380,72.38 μs
Random_Float,float,Quick,1000,100,0.000987149,987.15 μs
Random_Float,float,Quick,10000,10,0.012574187,12.57 ms
Random_Float,float,Quick,100000,1,0.154697084,154.70 ms
Random_Float,float,Quick,1000000,1,2.066018416,2.066 s
Random_Float,float,Quick,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Heap,50,20000,0.000033675,33.67 μs
Random_Float,float,Heap,100,10000,0.000078935,78.93 μs
Random_Float,float,Heap,1000,100,0.001258531,1.26 ms
Random_Float,float,Heap,10000,10,0.017388587,17.39 ms
Random_Float,float,Heap,100000,1,0.222852792,222.85 ms
Random_Float,float,Heap,1000000,1,3.199228583,3.199 s
Random_Float,float,Heap,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,Counting,50,20000,UNSUPPORTED,UNSUPPORTED
Random_Float,float,Counting,100,10000,UNSUPPORTED,UNSUPPORTED
Random_Float,float,Counting,1000,100,UNSUPPORTED,UNSUPPORTED
Random_Float,float,Counting,10000,10,UNSUPPORTED,UNSUPPORTED
Random_Float,float,Counting,100000,1,UNSUPPORTED,UNSUPPORTED
Random_Float,float,Counting,1000000,1,UNSUPPORTED,UNSUPPORTED
Random_Float,float,Counting,10000000,1,UNSUPPORTED,UNSUPPORTED
Random_Float,float,LinkedListMerge,50,20000,0.000032598,32.60 μs
Random_Float,float,LinkedListMerge,100,10000,0.000072226,72.23 μs
Random_Float,float,LinkedListMerge,1000,100,0.000960000,960.00 μs
Random_Float,float,LinkedListMerge,10000,10,0.012620933,12.62 ms
Random_Float,float,LinkedListMerge,100000,1,0.155664666,155.66 ms
Random_Float,float,LinkedListMerge,1000000,1,2.182029333,2.182 s
Random_Float,float,LinkedListMerge,10000000,1,TIMEOUT,TIMEOUT
Random_Float,float,TimSort,50,20000,0.000002151,2.15 μs
Random_Float,float,TimSort,100,10000,0.000004773,4.77 μs
Random_Float,float,TimSort,1000,100,0.000066519,66.52 μs
Random_Float,float,TimSort,10000,10,0.000868150,868.15 μs
Random_Float,float,TimSort,100000,1,0.010861792,10.86 ms
Random_Float,float,TimSort,1000000,1,0.148188208,148.19 ms
Random_Float,float,TimSort,10000000,1,1.948401125,1.948 s
Random_String,str,Bubble,50,20000,0.000077314,77.31 μs
Random_String,str,Bubble,100,10000,0.000308289,308.29 μs
Random_String,str,Bubble,1000,100,0.032720951,32.72 ms
Random_String,str,Bubble,10000,10,TIMEOUT,TIMEOUT
Random_String,str,Bubble,100000,1,TIMEOUT,TIMEOUT
Random_String,str,Bubble,1000000,1,TIMEOUT,TIMEOUT
Random_String,str,Bubble,10000000,1,TIMEOUT,TIMEOUT
Random_String,str,Selection,50,20000,0.000044666,44.67 μs
Random_String,str,Selection,100,10000,0.000168944,168.94 μs
Random_String,str,Selection,1000,100,0.016631155,16.63 ms
Random_String,str,Selection,10000,10,TIMEOUT,TIMEOUT
Random_String,str,Selection,100000,1,TIMEOUT,TIMEOUT
Random_String,str,Selection,1000000,1,TIMEOUT,TIMEOUT
Random_String,str,Selection,10000000,1,TIMEOUT,TIMEOUT
Random_String,str,Insertion,50,20000,0.000034281,34.28 μs
Random_String,str,Insertion,100,10000,0.000135169,135.17 μs
Random_String,str,Insertion,1000,100,0.014451842,14.45 ms
Random_String,str,Insertion,10000,10,TIMEOUT,TIMEOUT
Random_String,str,Insertion,100000,1,TIMEOUT,TIMEOUT
Random_String,str,Insertion,1000000,1,TIMEOUT,TIMEOUT
Random_String,str,Insertion,10000000,1,TIMEOUT,TIMEOUT
Random_String,str,Merge,50,20000,0.000039837,39.84 μs
Random_String,str,Merge,100,10000,0.000089281,89.28 μs
Random_String,str,Merge,1000,100,0.001185380,1.19 ms
Random_String,str,Merge,10000,10,0.014928579,14.93 ms
Random_String,str,Merge,100000,1,0.179611541,179.61 ms
Random_String,str,Merge,1000000,1,2.458706750,2.459 s
Random_String,str,Merge,10000000,1,TIMEOUT,TIMEOUT
Random_String,str,Quick,50,20000,0.000036142,36.14 μs
Random_String,str,Quick,100,10000,0.000081483,81.48 μs
Random_String,str,Quick,1000,100,0.001134273,1.13 ms
Random_String,str,Quick,10000,10,0.014681083,14.68 ms
Random_String,str,Quick,100000,1,0.182998542,183.00 ms
Random_String,str,Quick,1000000,1,2.498150583,2.498 s
Random_String,str,Quick,10000000,1,TIMEOUT,TIMEOUT
Random_String,str,Heap,50,20000,0.000036966,36.97 μs
Random_String,str,Heap,100,10000,0.000088150,88.15 μs
Random_String,str,Heap,1000,100,0.001367976,1.37 ms
Random_String,str,Heap,10000,10,0.019128721,19.13 ms
Random_String,str,Heap,100000,1,0.245605500,245.61 ms
Random_String,str,Heap,1000000,1,3.850380958,3.850 s
Random_String,str,Heap,10000000,1,TIMEOUT,TIMEOUT
Random_String,str,Counting,50,20000,UNSUPPORTED,UNSUPPORTED
Random_String,str,Counting,100,10000,UNSUPPORTED,UNSUPPORTED
Random_String,str,Counting,1000,100,UNSUPPORTED,UNSUPPORTED
Random_String,str,Counting,10000,10,UNSUPPORTED,UNSUPPORTED
Random_String,str,Counting,100000,1,UNSUPPORTED,UNSUPPORTED
Random_String,str,Counting,1000000,1,UNSUPPORTED,UNSUPPORTED
Random_String,str,Counting,10000000,1,UNSUPPORTED,UNSUPPORTED
Random_String,str,LinkedListMerge,50,20000,0.000034347,34.35 μs
Random_String,str,LinkedListMerge,100,10000,0.000076340,76.34 μs
Random_String,str,LinkedListMerge,1000,100,0.001014743,1.01 ms
Random_String,str,LinkedListMerge,10000,10,0.013399312,13.40 ms
Random_String,str,LinkedListMerge,100000,1,0.171156042,171.16 ms
Random_String,str,LinkedListMerge,1000000,1,2.385586625,2.386 s
